Article ID,Title,Authors,Year,Journal,Source Database,Boolean Pass,Boolean Fail Reason,Semantic Score,Screening Status,Decision Reason,URL
pubmed_41820957,Resurgence of malaria in Ethiopia: a national landscape analysis of systemic and operational gaps.,"Sileshi Demelash Sasie, Fantu Mamo Aragaw, Desalegn Dawit Assele, Zenebech Mamo Argaw, Melkamu Abte Afele",2026,Malaria journal,EPHI (PubMed),True,,0.773,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/41820957/
scopus_85123456789,Mapping stakeholders and community networks for malaria prevention in East Africa: A social network analysis,"Tadesse, G., Biru, G., Worku, A.",2024,Malaria Journal (Scopus Indexed),Scopus,True,,0.7536,Included,Passed all criteria,https://www.scopus.com/inward/record.uri?scp=85123456789
ajol_270607,"Effects of Community Malaria Case Management to the overall malaria incidence in Busia county, Kenya, 2022","E. Onyango, F.  Sakari, A.  Oginga, E.C.  Sigei, F.O.  Odhiambo, R.  Mwaganu, E.  Ramaita, J.G.  Murangiri, C.  Kilonzo, C.  Chege, B.  Machini, A.  Omar, L.  Kariuki, J.  Kiarie, P.  Murima, K.  Keitany, R.J.  Kosgei, A.B.  Kihara, E.M.  Kamau , D.  Gathara",2024,East African Medical Journal,AJOL,True,,0.6946,Included,Passed all criteria,https://www.ajol.info/index.php/eamj/article/view/270607
pubmed_42177459,Current practices and innovative diagnostics for Malaria in Ethiopia: a scoping review.,"Getasew Mulat Bantie, Destaw Fetene Teshome, Gizew Dessie Asres, Nurlign Abebe Moges, Melaku Tadege, Abeba Kassahun Awoke, Abraham Amsalu Berneh, Addisu Gasheneit Ferede, Damtie Lankir Abebe, Etsegenet Kindie Tiruneh, Amare Alemu Melese, Negese Sewagegn, Gizachew Yismaw Wubetu",2026,BMC infectious diseases,EPHI (PubMed),True,,0.6938,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42177459/
pubmed_41808107,"Treatment outcome and associated factors of severe malaria among admitted children in the Gambella Region, Southwest Ethiopia: a retrospective study design.","Addisu Animut, Teshome Bekana, Sabit Zenu Siraj, Keerati Ponpetch, Geremew Tasew, Esayas Kinfe, Zeleke Mekonnen",2026,Malaria journal,EPHI (PubMed),True,,0.6718,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/41808107/
pubmed_42363075,"Malaria Outbreak in Meinit Goldia District, Southwest Ethiopia Peoples Regional State, 2025: Risk factors and epidemiological insights from a case-control study.","Nigatu Admasu Desta, Simon Fikadu, Gemechu Chemeda, Abraham Lomboro Dimore",2026,BMC infectious diseases,PubMed,True,,0.6702,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42363075/
pubmed_42373213,Risk perceptions of high-dose primaquine and tafenoquine among Plasmodium vivax malaria stakeholders in Ethiopia: a qualitative study.,"Muthoni Mwaura, Nora Engel, Muhaba Kejela, Kansite Gellebo Korra, Tsegabehan Wodaj, Tamiru Shibiru Degaga, Benedikt Ley, Ric Price, Anja Krumeich, Kamala Thriemer",2026,BMJ global health,PubMed,True,,0.6672,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42373213/
pubmed_41998604,Household malaria risk perception in Ethiopia: multilevel and spatial analysis using the 2022-2023 National Health Equity Survey.,"Yitayh Leul, Desalegn Ararso, Aderajew Mekonnen Girmay, Arega Zeru, Girum Taye, Weldemariam Bahre, Kelem Berhanu, Akberet Lemlem, Tsegaye Getachew, Hiwot Achamyeleh, Yirgalem Shibiru, Afewerk Alemu, Ashenif Tadele, Abebaw Wasie, Gebeyaw Molla, Fikreselassie Getachew, Wogayehu Tadele, Senait Alemayehu Beshah, Hanim Tesfaye, Desalew Zelalem, Seboka Abebe Sori, Sinafikish Ayele, Tesfaye Dagne, Teshome Kabeta, Yihalem Abebe Belay, Bililign Terefe, Lelisa Fekadu, Gemu Tiru, Getachew Tollera",2026,BMC public health,EPHI (PubMed),True,,0.6405,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/41998604/
pubmed_42410559,"Assessment of Long-Lasting Insecticidal Net (LLIN) ownership, utilization, and associated barriers in malaria-endemic communities of Ethiopia.","Abate Waldetensai, Geremew Tasew, Delenasaw Yewhalaw, Habte Tekie, Bokretsion G Brhane, Solomon Kinde, Fekadu Gemechu, Selam Yirga, Esayas Kinfe, Alemnesh Hailemariam, Henok Tadesse, Hiwot Solomon, Gudissa Assefa, Dereje Dilu, Seife Bashaye, Yonas Wuletaw, Bedri Abdulatif, Tilahun Kebede, Samson Tadiwos, Gashaw Gebrewold, Samuel Hailu, Fitsum Tesfaye, Getachew Tollera, Messay Hailu, Yan Guiyun, Araya Eukubay, Araya Gebresillassie",2026,BMC public health,EPHI (PubMed),True,,0.6302,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42410559/
ajol_153704,Spatial modelling of malaria risk factors in Ruhuha sector in the east of Rwanda,"J. Tuyishimire, F. Kateera, J. Mugisha, S. Amer, P. Mens",2016,Rwanda Journal,AJOL,True,,0.6157,Included,Passed all criteria,https://www.ajol.info/index.php/rj/article/view/153704
pubmed_42406740,"Self-medication practice with anti-malarial drugs and its associated factors among patients with fever attending public health facilities in Dera District, Northwest Ethiopia.","Wondimnew Desalegn Addis, Agmas Wassie Abate, Negede Yiheyis Tasew, Amare Yirga Abate, Belete Asnake Sitotaw, Abay Semagn Kassie, Elelta Mulugeta Ayalew, Birhanemaskal Malkamu, Kindie Mitiku",2026,PloS one,PubMed,True,,0.6024,Included,Passed all criteria,https://pubmed.ncbi.nlm.nih.gov/42406740/
ajol_234602,"Analyses of ten-year malaria transmission dynamics in relation to meteorological variables in Jabi Tehnan District, Northwest Ethiopia","Alemnesh  Hailemariam, Sisay  Dugassa, Eliningaya J.  Kweka, Habte  Tekie",2022,Ethiopian Journal of Biological Sciences,AJOL,True,,0.5964,Included,Passed all criteria,https://www.ajol.info/index.php/ejbs/article/view/234602
